brand,total_brand_tweets,replies_with_parent,customer_mentions,avg_reply_char_len
AmazonHelp,169840,169287,135160,124.0
AppleSupport,106860,106719,97896,136.6
Uber_Support,56270,56261,46624,110.1
SpotifyCares,43265,43243,31353,129.6
Delta,42253,42197,44838,103.9
Tesco,38573,38501,33964,139.0
AmericanAir,36764,36598,49517,103.4
TMobileHelp,34317,34287,21964,125.0
comcastcares,33031,33007,23278,127.5
British_Airways,29361,29315,30856,124.4
SouthwestAir,28977,28889,35106,116.8
VirginTrains,27817,27522,37396,84.9
Ask_Spectrum,25860,25807,23676,137.2
XboxSupport,24557,24341,28124,114.9
sprintcare,22381,22335,13746,115.1
hulu_support,21872,21783,18615,136.1
sainsburys,19466,19417,22862,120.6
GWRHelp,19364,19294,27021,112.7
AskPlayStation,19098,18694,22263,99.0
ChipotleTweets,18749,18612,21815,73.4
